                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.11469,                0.13693,               0.026636,               0.071052,              0.0027665,                0.34564,              0.0031112,              0.0010096,              0.0026305,                0.33344,              0.0034321,              0.0011006,               0.090548,               0.055224,               0.018467,               0.067657,                 0.0856,                 0.0016,                 0.0016
                      1,               0.079264,               0.048586,               0.037482,               0.060624,                0.15865,                 0.2999,               0.069353,                0.02881,                0.16525,                0.30211,               0.079787,               0.036416,               0.066798,               0.039506,               0.021276,               0.055931,               0.070267,              0.0032673,              0.0032673
                      2,               0.061685,               0.033274,                0.03252,               0.050443,                0.37114,                0.34266,                0.26234,                0.11842,                0.39235,                0.35866,                 0.3092,                0.16737,               0.060104,               0.026189,               0.017454,               0.043785,               0.054901,               0.004901,               0.004901
                      3,                0.05961,               0.028596,               0.029327,               0.042291,                0.25615,                0.55542,                0.35235,                0.15586,                0.35119,                0.54903,                0.39178,                0.22493,               0.059654,               0.024222,               0.014568,               0.033646,               0.039501,               0.006501,               0.006501
                      4,               0.059442,               0.025642,               0.026542,               0.034307,                0.35153,                0.64998,                0.47042,                0.22705,                 0.3519,                0.65233,                0.48974,                0.31467,               0.050884,               0.022941,               0.012672,               0.026917,               0.024067,              0.0080674,              0.0080674
                      5,               0.056562,               0.024703,               0.024928,               0.028072,                0.35272,                0.64966,                0.46237,                0.24211,                 0.3603,                0.62096,                0.47905,                0.28571,               0.047138,               0.026919,               0.013449,               0.023716,               0.009505,               0.009505,               0.009505
                      6,                0.05216,               0.023721,               0.023827,                0.02427,                0.41974,                0.53586,                0.39589,                 0.1945,                0.42815,                0.53664,                0.40098,                0.23671,               0.054446,               0.035677,               0.015507,               0.029987,               0.009505,               0.009505,               0.009505
                      7,                0.04676,               0.022751,               0.023663,               0.021269,                0.43649,                0.68571,                0.56399,                0.27173,                0.43421,                0.68365,                0.56724,                0.38303,               0.045524,               0.023558,               0.013435,               0.021954,               0.009406,               0.009406,               0.009406
                      8,               0.044401,               0.022361,               0.023094,               0.019608,                0.51062,                0.69625,                0.61796,                0.32738,                0.53032,                0.69861,                0.62384,                0.36459,                0.04129,               0.029855,               0.013836,               0.022858,               0.009307,               0.009307,               0.009307
                      9,               0.040718,               0.021339,               0.021961,               0.018016,                0.46871,                0.72099,                 0.6698,                0.40189,                0.46852,                 0.7205,                0.67085,                0.45389,                0.03814,               0.022868,               0.011605,               0.019203,               0.009208,               0.009208,               0.009208
                     10,               0.038884,               0.021115,               0.021712,                0.01694,                  0.624,                0.79374,                0.77083,                0.48767,                0.62193,                0.78634,                0.76621,                0.57995,               0.032684,                0.02427,                 0.0108,                0.01605,               0.009109,               0.009109,               0.009109
